title;author;journal;year;source;pages;volume;document_type;doi;url;publisher;issn;status;
Cyber-Physical Systems Testbed Based on Cloud Computing and Software Defined Network;H. {Gao} and Y. {Peng} and K. {Jia} and Z. {Wen} and H. {Li};;2015;IEEE Digital Library;337-340;;inproceedings;10.1109/IIH-MSP.2015.50;;;;Duplicated;
Specifying and Modeling Cloud Cyber Physical Systems Based on AADL;L. {Zhang};;2018;IEEE Digital Library;26-29;;inproceedings;10.1109/DCABES.2018.00017;;;;Accepted;
Modeling Cloud Based Cyber Physical Systems Based on AADL;L. {Zhang};;2018;IEEE Digital Library;1-6;;inproceedings;10.23919/IConAC.2018.8749058;;;;Accepted;
Performance Issues in Cloud Computing for Cyber-physical Applications;M. {Olson} and K. M. {Chandy};;2011;IEEE Digital Library;742-743;;inproceedings;10.1109/CLOUD.2011.118;;;;Rejected;
An Resilient Cloud Architecture for Mission Assurance;J. {Yu} and F. {Ding} and X. {Zhao} and Y. {Wang};;2018;IEEE Digital Library;343-346;;inproceedings;10.1109/ITOEC.2018.8740382;;;;Accepted;
A Cloud-Integrated, Multilayered, Agent-Based Cyber-Physical System Architecture;T. {Sanislav} and S. {Zeadally} and G. D. {Mois};Computer;2017;IEEE Digital Library;27-37;50;article;10.1109/MC.2017.113;;;;Accepted;
C2PS: A Digital Twin Architecture Reference Model for the Cloud-Based Cyber-Physical Systems;K. M. {Alam} and A. {El Saddik};IEEE Access;2017;IEEE Digital Library;2050-2062;5;article;10.1109/ACCESS.2017.2657006;;;;Accepted;
Demo Abstract: Gesture-Based Cyber-Physical In-Home Therapy System in a Big Data Environment;M. A. {Rahman};;2016;IEEE Digital Library;1-1;;inproceedings;10.1109/ICCPS.2016.7479097;;;;Rejected;
Semantic cyber-physical cloud systems;A. {Bereş};;2017;IEEE Digital Library;1-6;;inproceedings;10.1109/ISDFS.2017.7916499;;;;Accepted;
Fog/Edge Computing-Based IoT (FECIoT): Architecture, Applications, and Research Issues;B. {Omoniwa} and R. {Hussain} and M. A. {Javed} and S. H. {Bouk} and S. A. {Malik};IEEE Internet of Things Journal;2019;IEEE Digital Library;4118-4149;6;article;10.1109/JIOT.2018.2875544;;;;Duplicated;
Cloud-Assisted Context-Aware Vehicular Cyber-Physical System for PHEVs in Smart Grid;N. {Kumar} and M. {Singh} and S. {Zeadally} and J. J. P. C. {Rodrigues} and S. {Rho};IEEE Systems Journal;2017;IEEE Digital Library;140-151;11;article;10.1109/JSYST.2015.2437201;;;;Accepted;
Cyber-Physical Manufacturing Systems for Industry 4.0: Architectural Approach and Pilot Case;M. {Prist} and A. {Monteriù} and A. {Freddi} and E. {Pallotta} and P. {Cicconi} and F. {Giuggioloni} and E. {Caizer} and C. {Verdini} and S. {Longhi};;2019;IEEE Digital Library;219-224;;inproceedings;10.1109/METROI4.2019.8792880;;;;Duplicated;
Archer: An Event-Driven Architecture for Cyber-Physical Systems;J. {Moreno Molina} and J. {Ferrer García} and C. {Kuchkovsky Jiménez};;2018;IEEE Digital Library;335-340;;inproceedings;10.1109/UCC-Companion.2018.00077;;;;Rejected;
Job Allocation Mechanism for Battery Consumption Minimization of Cyber-Physical-Social Big Data Processing Based on Mobile Cloud Computing;G. {Yi} and H. {Kim} and J. H. {Park} and Y. {Jeong};IEEE Access;2018;IEEE Digital Library;21769-21777;6;article;10.1109/ACCESS.2018.2803730;;;;Accepted;
Engineering problems in initial phase of cloud control system;L. {Ma} and Y. {Xia} and Y. {Ali} and Y. {Zhan};;2017;IEEE Digital Library;7892-7896;;inproceedings;10.23919/ChiCC.2017.8028603;;;;Accepted;
Design of Distributed Cyber–Physical Systems for Connected and Automated Vehicles With Implementing Methodologies;Y. {Feng} and B. {Hu} and H. {Hao} and Y. {Gao} and Z. {Li} and J. {Tan};IEEE Transactions on Industrial Informatics;2018;IEEE Digital Library;4200-4211;14;article;10.1109/TII.2018.2805910;;;;Accepted;
Software architecture for cyber-physical control systems with flexible application of the software-as-a-service and on-premises model;M. {Engelsberger} and T. {Greiner};;2015;IEEE Digital Library;1544-1549;;inproceedings;10.1109/ICIT.2015.7125316;;;;Duplicated;
Implementation of a Large-Scale Platform for Cyber-Physical System Real-Time Monitoring;M. {Canizo} and A. {Conde} and S. {Charramendieta} and R. {Miñón} and R. G. {Cid-Fuentes} and E. {Onieva};IEEE Access;2019;IEEE Digital Library;52455-52466;7;article;10.1109/ACCESS.2019.2911979;;;;Accepted;
Architectural refinements for enhancing trust and securing cyber-physical systems;V. {Venugopalan} and C. D. {Patterson};;2017;IEEE Digital Library;1-8;;inproceedings;10.1109/UIC-ATC.2017.8397621;;;;Accepted;
A service-based approach to designing cyber physical systems;La, H.J. and Kim, S.D.;Proceedings - 9th IEEE/ACIS International Conference on Computer and Information Science, ICIS 2010;2010;Scopus;895-900;;conference;10.1109/ICIS.2010.73;https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649240319&doi=10.1109%2fICIS.2010.73&partnerID=40&md5=96b8fd9dd1167f5d5fd56583663d8675;;;Accepted;
Digital twin-driven cyber-physical production system towards smart shop-floor;Zhang, Haijun and Zhang, Guohui and Yan, Qiong;JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING;2019;ISI Web of Science;4439-4453;10;article;10.1007/s12652-018-1125-4;;;1868-5137;Duplicated;
A walkthrough of the emerging IoT paradigm: Visualizing inside functionalities, key features, and open issues;Singh, Abhishek and Payal, Ashish and Bharti, Sourabh;JOURNAL OF NETWORK AND COMPUTER APPLICATIONS;2019;ISI Web of Science;111-151;143;article;10.1016/j.jnca.2019.06.013;;;1084-8045;Accepted;
Integrated system architecture for decision-making and urban planning in smart cities;Pires, Felipe Marques and Mendes, Leonardo de Souza and Quinonez, Lorena Leon;INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS;2019;ISI Web of Science;;15;article;10.1177/1550147719867829;;;1550-1477;Duplicated;
